clf1 > 5 acutance
present
blue (1).png 1 1.0
blue (2).png 1 1.0
blue (3).png 1 0.99
blue (4).png 1 1.0
blue (5).png 1 1.0
blue (6).png 1 1.0
blue (7).png 1 1.0
blue (8).png 1 1.0
blue (9).png 1 1.0
dark_blue (1).png 1 1.0
dark_blue (10).png 1 1.0
dark_blue (11).png 1 1.0
dark_blue (2).png 1 1.0
dark_blue (3).png 1 1.0
dark_blue (4).png 1 1.0
dark_blue (5).png 1 1.0
dark_blue (6).png 1 1.0
dark_blue (7).png 1 1.0
dark_blue (8).png 1 1.0
dark_blue (9).png 1 1.0
dark_gray (1).png 1 1.0
dark_gray (10).png 1 1.0
dark_gray (2).png 1 1.0
dark_gray (3).png 1 1.0
dark_gray (4).png 1 1.0
dark_gray (5).png 1 1.0
dark_gray (6).png 1 1.0
dark_gray (7).png 1 1.0
dark_gray (8).png 1 1.0
dark_gray (9).png 1 1.0
dark_gray2 (1).png 1 1.0
dark_gray2 (2).png 1 1.0
dark_gray2 (3).png 1 1.0
dark_gray2 (4).png 1 1.0
dark_gray2 (5).png 1 1.0
dark_gray2 (6).png 1 1.0
dark_gray2 (7).png 1 1.0
dark_gray2 (8).png 1 1.0
dark_gray2 (9).png 1 1.0
light_gray (1).png 1 1.0
light_gray (10).png 1 1.0
light_gray (2).png 1 1.0
light_gray (3).png 1 1.0
light_gray (4).png 1 1.0
light_gray (5).png 1 1.0
light_gray (6).png 1 1.0
light_gray (7).png 1 1.0
light_gray (8).png 1 1.0
light_gray (9).png 1 1.0
purple (1).png 1 1.0
purple (10).png 1 1.0
purple (2).png 1 1.0
purple (3).png 1 1.0
purple (4).png 1 1.0
purple (5).png 1 1.0
purple (6).png 1 1.0
purple (7).png 1 1.0
purple (8).png 1 1.0
purple (9).png 1 1.0
white (39).png 1 1.0
white (40).png 1 1.0
white (76).png 1 1.0
white (77).png 1 1.0
not present
not_present (13).png 0 0.01
not_present (31).png 0 0.1
not_present (32).png 0 0.01
not_present (33).png 0 0.01
not_present (34).png 0 0.0
not_present (35).png 0 0.0
not_present (36).png 0 0.15
clf2 < 5 acutance
present
black (1).png 1 0.77
black (10).png 1 0.79
black (2).png 0 0.0
black (3).png 0 0.02
black (4).png 0 0.0
black (5).png 0 0.0
black (6).png 0 0.0
black (7).png 1 0.81
black (8).png 1 0.83
black (9).png 1 0.84
white (1).png 1 1.0
white (10).png 1 1.0
white (100).png 1 1.0
white (11).png 1 1.0
white (12).png 1 1.0
white (13).png 1 1.0
white (14).png 1 1.0
white (15).png 1 1.0
white (16).png 1 1.0
white (17).png 1 1.0
white (18).png 1 1.0
white (19).png 1 1.0
white (2).png 1 1.0
white (20).png 1 1.0
white (21).png 1 1.0
white (22).png 1 1.0
white (23).png 1 1.0
white (24).png 1 1.0
white (25).png 1 1.0
white (26).png 1 1.0
white (27).png 1 1.0
white (28).png 1 1.0
white (29).png 1 1.0
white (3).png 1 1.0
white (30).png 1 1.0
white (31).png 1 1.0
white (32).png 1 1.0
white (33).png 1 1.0
white (34).png 1 1.0
white (35).png 1 1.0
white (36).png 1 1.0
white (37).png 1 1.0
white (38).png 1 1.0
white (4).png 1 1.0
white (41).png 1 1.0
white (42).png 1 1.0
white (43).png 1 1.0
white (44).png 1 1.0
white (45).png 1 1.0
white (46).png 1 1.0
white (47).png 1 1.0
white (48).png 1 1.0
white (49).png 1 1.0
white (5).png 1 1.0
white (50).png 1 1.0
white (51).png 1 1.0
white (52).png 1 1.0
white (53).png 1 1.0
white (54).png 1 1.0
white (55).png 1 1.0
white (56).png 1 1.0
white (57).png 1 1.0
white (58).png 1 1.0
white (59).png 1 1.0
white (6).png 1 1.0
white (60).png 1 1.0
white (61).png 1 1.0
white (62).png 1 1.0
white (63).png 1 1.0
white (64).png 1 1.0
white (65).png 1 1.0
white (66).png 1 1.0
white (67).png 1 1.0
white (68).png 1 1.0
white (69).png 1 1.0
white (7).png 1 1.0
white (70).png 1 1.0
white (71).png 1 1.0
white (72).png 1 1.0
white (73).png 1 1.0
white (74).png 1 1.0
white (75).png 1 1.0
white (78).png 1 1.0
white (79).png 1 1.0
white (8).png 1 1.0
white (80).png 1 1.0
white (81).png 1 1.0
white (82).png 1 1.0
white (83).png 1 1.0
white (84).png 1 1.0
white (85).png 1 1.0
white (86).png 1 1.0
white (87).png 1 1.0
white (88).png 1 1.0
white (89).png 1 1.0
white (9).png 1 1.0
white (90).png 1 1.0
white (91).png 1 1.0
white (92).png 1 1.0
white (93).png 1 1.0
white (94).png 1 1.0
white (95).png 1 1.0
white (96).png 1 1.0
white (97).png 1 1.0
white (98).png 1 1.0
white (99).png 1 1.0
yellow (1).png 1 0.97
yellow (10).png 1 0.93
yellow (2).png 1 0.95
yellow (3).png 1 0.94
yellow (4).png 1 0.92
yellow (5).png 1 1.0
yellow (6).png 1 1.0
yellow (7).png 1 1.0
yellow (8).png 1 1.0
yellow (9).png 1 1.0
not present
not_present (1).png 0 0.0
not_present (10).png 0 0.0
not_present (11).png 0 0.0
not_present (12).png 0 0.0
not_present (14).png 0 0.0
not_present (15).png 0 0.0
not_present (16).png 0 0.0
not_present (17).png 0 0.0
not_present (18).png 0 0.0
not_present (19).png 0 0.0
not_present (2).png 0 0.0
not_present (20).png 0 0.0
not_present (21).png 0 0.0
not_present (22).png 0 0.0
not_present (23).png 0 0.0
not_present (24).png 0 0.0
not_present (25).png 0 0.0
not_present (26).png 0 0.0
not_present (27).png 0 0.0
not_present (28).png 0 0.0
not_present (29).png 0 0.0
not_present (3).png 0 0.0
not_present (30).png 0 0.0
not_present (37).png 0 0.0
not_present (38).png 0 0.0
not_present (39).png 0 0.0
not_present (4).png 0 0.0
not_present (40).png 0 0.0
not_present (41).png 0 0.0
not_present (42).png 0 0.0
not_present (43).png 0 0.0
not_present (44).png 0 0.0
not_present (45).png 0 0.0
not_present (46).png 0 0.0
not_present (47).png 0 0.0
not_present (48).png 0 0.0
not_present (49).png 0 0.0
not_present (5).png 0 0.0
not_present (50).png 0 0.0
not_present (51).png 0 0.0
not_present (52).png 0 0.0
not_present (53).png 0 0.0
not_present (54).png 0 0.0
not_present (55).png 0 0.0
not_present (56).png 0 0.0
not_present (6).png 0 0.0
not_present (7).png 0 0.0
not_present (8).png 0 0.0
not_present (9).png 0 0.0
not_present (54).png 0 0.0
not_present (55).png 0 0.0
not_present (56).png 0 0.0
not_present (6).png 0 0.0
not_present (7).png 0 0.0
not_present (8).png 0 0.0
not_present (9).png 0 0.0
