C = 5000.0 RBF
black{'mean': 1.9589401810677785, 'std': 1.8295394706080208, 'min': 0.06133655316870801, 'max': 3.913467615888699, 'n': 10}
blue{'mean': 13.148064437730245, 'std': 8.271673557178824, 'min': 5.625631703323322, 'max': 22.695081476647644, 'n': 9}
dark_blue{'mean': 9.08340378587562, 'std': 4.710407305084084, 'min': 3.856228668237577, 'max': 13.75756442604677, 'n': 11}
dark_gray{'mean': 3.8317083312639624, 'std': 2.6304881736657215, 'min': 1.1059970637077186, 'max': 6.762932345131276, 'n': 10}
dark_gray2{'mean': 12.184066671026928, 'std': 5.374221477454678, 'min': 6.1065897957146404, 'max': 17.454204417956603, 'n': 9}
light_gray{'mean': 8.154205906503782, 'std': 0.32851346611203885, 'min': 7.735090090576975, 'max': 8.85699989719187, 'n': 10}
purple{'mean': 10.762155776703244, 'std': 6.448169358503919, 'min': 4.093065671384025, 'max': 17.544547612714283, 'n': 10}
white{'mean': 8.119229183918655, 'std': 2.3775709827893476, 'min': 6.151484021346278, 'max': 19.798060394070717, 'n': 100}
yellow{'mean': 9.194311595233497, 'std': 7.113451936325391, 'min': 1.7526744266035479, 'max': 16.557350298925243, 'n': 10}
not_present{'mean': -1.7838429020851265, 'std': 0.5877457041688945, 'min': -2.8159558635351942, 'max': -0.25449650830569226, 'n': 56}
C = 10000.0 RBF
black{'mean': 1.9582190672780926, 'std': 1.8290334989328085, 'min': 0.061160271473873706, 'max': 3.912216078650964, 'n': 10}
blue{'mean': 13.150702961951529, 'std': 8.286371567406416, 'min': 5.615217865544906, 'max': 22.713636983009707, 'n': 9}
dark_blue{'mean': 9.083418204181774, 'std': 4.703138039832193, 'min': 3.8639888332834147, 'max': 13.750230786615461, 'n': 11}
dark_gray{'mean': 3.83590693011204, 'std': 2.6390380524985058, 'min': 1.1014711019652879, 'max': 6.776429005836306, 'n': 10}
dark_gray2{'mean': 12.188455584788773, 'std': 5.3857548173109535, 'min': 6.09823291969029, 'max': 17.46918414155776, 'n': 9}
light_gray{'mean': 8.146554376853995, 'std': 0.320230053879365, 'min': 7.737363333012112, 'max': 8.839093541991573, 'n': 10}
purple{'mean': 10.773753803584375, 'std': 6.462624289248858, 'min': 4.090057399425476, 'max': 17.56977503146443, 'n': 10}
white{'mean': 8.13287533485429, 'std': 2.392778019736545, 'min': 6.158989081607729, 'max': 19.892836697374264, 'n': 100}
yellow{'mean': 9.202231659820479, 'std': 7.120686102624581, 'min': 1.7536006134704678, 'max': 16.571703402718782, 'n': 10}
not_present{'mean': -1.7871618074678384, 'std': 0.5916852858499266, 'min': -2.8579497098132975, 'max': -0.25744694895131204, 'n': 56}
C = 50000.0 RBF
black{'mean': 1.958131593857297, 'std': 1.8288063994595873, 'min': 0.0613334380913102, 'max': 3.911846560250865, 'n': 10}
blue{'mean': 13.150060146972159, 'std': 8.282866441398676, 'min': 5.617787841791795, 'max': 22.709306765435684, 'n': 9}
dark_blue{'mean': 9.083781624144834, 'std': 4.7081025538102494, 'min': 3.8590596890168882, 'max': 13.755456340849108, 'n': 11}
dark_gray{'mean': 3.8403840481578326, 'std': 2.634184746722007, 'min': 1.1106353618444729, 'max': 6.775868473166341, 'n': 10}
dark_gray2{'mean': 12.19295464510056, 'std': 5.391629982100689, 'min': 6.096063259093839, 'max': 17.479086166908687, 'n': 9}
light_gray{'mean': 8.144781340472829, 'std': 0.32079971250828254, 'min': 7.7349444812359, 'max': 8.838067844182817, 'n': 10}
purple{'mean': 10.772122570675881, 'std': 6.4617026341239026, 'min': 4.089368055471894, 'max': 17.56744263444996, 'n': 10}
white{'mean': 8.13099962330925, 'std': 2.392916527709506, 'min': 6.157216505805678, 'max': 19.892153649076278, 'n': 100}
yellow{'mean': 9.206142662469219, 'std': 7.123987828654346, 'min': 1.7541509359788137, 'max': 16.579166297056744, 'n': 10}
not_present{'mean': -1.7873350949093922, 'std': 0.5917256741818937, 'min': -2.8583054810242885, 'max': -0.2550849584202268, 'n': 56}
C = 100000.0 RBF
black{'mean': 1.9592847388179038, 'std': 1.8299804204842822, 'min': 0.061249442011693134, 'max': 3.9142604001059667, 'n': 10}
