# value,Bin
0.235950473,1
0.149937649,2
0.15202224,3
0.136284317,4
0.144210833,5
0.141779109,6
0.119640622,7
0.102090387,8
0.057365986,9
0.148135632,10
0.116466918,11
0.133771163,12
0.135142774,13
0.119885625,14
0.14646581,15
0.137888339,16
0.134662903,17
0.079727541,18
0.230821905,19
0.141108809,20
0.155863664,21
0.163148086,22
0.153601248,23
0.184602234,24
0.18464612,25
0.188018101,26
0.147456646,27
0.227361877,28
0.187667158,29
0.176687158,30
0.150024126,31
0.148733833,32
0.157172324,33
0.176792552,34
0.153332716,35
0.090915732,36
