# hist, value,Bin
no_shirt1.png,0.23830107,1
no_shirt1.png,0.163456009,2
no_shirt1.png,0.23830107,3
no_shirt1.png,0.201728883,4
no_shirt1.png,0.172684656,5
no_shirt1.png,0.208645087,6
no_shirt1.png,0.20666364,7
no_shirt1.png,0.217661305,8
no_shirt1.png,0.091832023,9
no_shirt1.png,0.23830107,10
no_shirt1.png,0.17249359,11
no_shirt1.png,0.193587625,12
no_shirt1.png,0.227637271,13
no_shirt1.png,0.181539422,14
no_shirt1.png,0.163368117,15
no_shirt1.png,0.160828469,16
no_shirt1.png,0.138086311,17
no_shirt1.png,0.012782615,18
no_shirt1.png,0.23830107,19
no_shirt1.png,0.111137862,20
no_shirt1.png,0.134725912,21
no_shirt1.png,0.085786717,22
no_shirt1.png,0.095155746,23
no_shirt1.png,0.132528346,24
no_shirt1.png,0.148027279,25
no_shirt1.png,0.106398962,26
no_shirt1.png,0.01627673,27
no_shirt1.png,0.23830107,28
no_shirt1.png,0.150628657,29
no_shirt1.png,0.131398967,30
no_shirt1.png,0.157840351,31
no_shirt1.png,0.117652923,32
no_shirt1.png,0.174571418,33
no_shirt1.png,0.171074208,34
no_shirt1.png,0.127424599,35
no_shirt1.png,0.017874619,36
no_shirt2.png,0.234359347,1
no_shirt2.png,0.165365302,2
no_shirt2.png,0.200767309,3
no_shirt2.png,0.208066575,4
no_shirt2.png,0.150256694,5
no_shirt2.png,0.234359347,6
no_shirt2.png,0.164056639,7
no_shirt2.png,0.137958008,8
no_shirt2.png,0.08618186,9
no_shirt2.png,0.234359347,10
no_shirt2.png,0.196087434,11
no_shirt2.png,0.20834262,12
no_shirt2.png,0.224917809,13
no_shirt2.png,0.18628976,14
no_shirt2.png,0.187424331,15
no_shirt2.png,0.198870802,16
no_shirt2.png,0.168834825,17
no_shirt2.png,0,18
no_shirt2.png,0.234359347,19
no_shirt2.png,0.112033823,20
no_shirt2.png,0.111523376,21
no_shirt2.png,0.147241394,22
no_shirt2.png,0.112494073,23
no_shirt2.png,0.150051647,24
no_shirt2.png,0.180029658,25
no_shirt2.png,0.160934114,26
no_shirt2.png,0.054944922,27
no_shirt2.png,0.219324913,28
no_shirt2.png,0.143456728,29
no_shirt2.png,0.131849569,30
no_shirt2.png,0.170711072,31
no_shirt2.png,0.086293368,32
no_shirt2.png,0.118424982,33
no_shirt2.png,0.140792228,34
no_shirt2.png,0.145941283,35
no_shirt2.png,0.045868914,36
no_shirt3.png,0.241323294,1
no_shirt3.png,0.168975273,2
no_shirt3.png,0.149277529,3
no_shirt3.png,0.203504671,4
no_shirt3.png,0.115564183,5
no_shirt3.png,0.19529407,6
no_shirt3.png,0.189970522,7
no_shirt3.png,0.182074652,8
no_shirt3.png,0.100162664,9
no_shirt3.png,0.241323294,10
no_shirt3.png,0.169433685,11
no_shirt3.png,0.223014979,12
no_shirt3.png,0.219355892,13
no_shirt3.png,0.108977984,14
no_shirt3.png,0.224393665,15
no_shirt3.png,0.173050371,16
no_shirt3.png,0.169694295,17
no_shirt3.png,0.020325654,18
no_shirt3.png,0.241323294,19
no_shirt3.png,0.097151598,20
no_shirt3.png,0.142766336,21
no_shirt3.png,0.121226157,22
no_shirt3.png,0.114957715,23
no_shirt3.png,0.154407988,24
no_shirt3.png,0.145769886,25
no_shirt3.png,0.114907483,26
no_shirt3.png,0.028431525,27
no_shirt3.png,0.241323294,28
no_shirt3.png,0.166852338,29
no_shirt3.png,0.138577066,30
no_shirt3.png,0.19124226,31
no_shirt3.png,0.106818339,32
no_shirt3.png,0.148046082,33
no_shirt3.png,0.174768338,34
no_shirt3.png,0.171958663,35
no_shirt3.png,0.046866415,36
no_shirt4.png,0.240607128,1
no_shirt4.png,0.169638094,2
no_shirt4.png,0.165192525,3
no_shirt4.png,0.17261265,4
no_shirt4.png,0.111154436,5
no_shirt4.png,0.218226225,6
no_shirt4.png,0.183432169,7
no_shirt4.png,0.137324898,8
no_shirt4.png,0.029951355,9
no_shirt4.png,0.238121588,10
no_shirt4.png,0.135680058,11
no_shirt4.png,0.139476795,12
no_shirt4.png,0.193466622,13
no_shirt4.png,0.079356053,14
no_shirt4.png,0.135596442,15
no_shirt4.png,0.153240578,16
no_shirt4.png,0.209236033,17
no_shirt4.png,0.058930621,18
no_shirt4.png,0.240607128,19
no_shirt4.png,0.160707561,20
no_shirt4.png,0.184235228,21
no_shirt4.png,0.177029274,22
no_shirt4.png,0.105089046,23
no_shirt4.png,0.162896581,24
no_shirt4.png,0.169042196,25
no_shirt4.png,0.179328365,26
no_shirt4.png,0.055559983,27
no_shirt4.png,0.240607128,28
no_shirt4.png,0.189445468,29
no_shirt4.png,0.196733375,30
no_shirt4.png,0.195236046,31
no_shirt4.png,0.140508611,32
no_shirt4.png,0.164909089,33
no_shirt4.png,0.136746929,34
no_shirt4.png,0.168333209,35
no_shirt4.png,0.021846789,36
no_shirt5.png,0.236226922,1
no_shirt5.png,0.171977185,2
no_shirt5.png,0.165130369,3
no_shirt5.png,0.190433305,4
no_shirt5.png,0.127811638,5
no_shirt5.png,0.236226922,6
no_shirt5.png,0.203288537,7
no_shirt5.png,0.221641205,8
no_shirt5.png,0.074262902,9
no_shirt5.png,0.236226922,10
no_shirt5.png,0.229675221,11
no_shirt5.png,0.198474564,12
no_shirt5.png,0.233834806,13
no_shirt5.png,0.143049884,14
no_shirt5.png,0.185669936,15
no_shirt5.png,0.151735098,16
no_shirt5.png,0.151336507,17
no_shirt5.png,0.011184798,18
no_shirt5.png,0.236226922,19
no_shirt5.png,0.104526875,20
no_shirt5.png,0.086995851,21
no_shirt5.png,0.124139684,22
no_shirt5.png,0.085817307,23
no_shirt5.png,0.182984981,24
no_shirt5.png,0.153071221,25
no_shirt5.png,0.16185934,26
no_shirt5.png,0.071742313,27
no_shirt5.png,0.236226922,28
no_shirt5.png,0.147661239,29
no_shirt5.png,0.132549098,30
no_shirt5.png,0.133859644,31
no_shirt5.png,0.13436869,32
no_shirt5.png,0.115246477,33
no_shirt5.png,0.188942377,34
no_shirt5.png,0.117806565,35
no_shirt5.png,0.005370128,36
no_shirt6 PAPER.png,0.239293478,1
no_shirt6 PAPER.png,0.116491653,2
no_shirt6 PAPER.png,0.147845417,3
no_shirt6 PAPER.png,0.156474755,4
no_shirt6 PAPER.png,0.139726885,5
no_shirt6 PAPER.png,0.223619668,6
no_shirt6 PAPER.png,0.160389794,7
no_shirt6 PAPER.png,0.199678615,8
no_shirt6 PAPER.png,0.038287206,9
no_shirt6 PAPER.png,0.239293478,10
no_shirt6 PAPER.png,0.172799118,11
no_shirt6 PAPER.png,0.193240028,12
no_shirt6 PAPER.png,0.239293478,13
no_shirt6 PAPER.png,0.103449982,14
no_shirt6 PAPER.png,0.130363142,15
no_shirt6 PAPER.png,0.182718951,16
no_shirt6 PAPER.png,0.147797116,17
no_shirt6 PAPER.png,0.011697606,18
no_shirt6 PAPER.png,0.239293478,19
no_shirt6 PAPER.png,0.124805715,20
no_shirt6 PAPER.png,0.148258463,21
no_shirt6 PAPER.png,0.141037097,22
no_shirt6 PAPER.png,0.147251545,23
no_shirt6 PAPER.png,0.13220555,24
no_shirt6 PAPER.png,0.1669897,25
no_shirt6 PAPER.png,0.189912183,26
no_shirt6 PAPER.png,0.032761155,27
no_shirt6 PAPER.png,0.239293478,28
no_shirt6 PAPER.png,0.155867894,29
no_shirt6 PAPER.png,0.163410467,30
no_shirt6 PAPER.png,0.201956649,31
no_shirt6 PAPER.png,0.133696959,32
no_shirt6 PAPER.png,0.216494019,33
no_shirt6 PAPER.png,0.165042932,34
no_shirt6 PAPER.png,0.145280715,35
no_shirt6 PAPER.png,0.02034764,36
