# hist, value,Bin
db_10000 (1).png,0.236135369,1
db_10000 (1).png,0.134402812,2
db_10000 (1).png,0.189602441,3
db_10000 (1).png,0.128282848,4
db_10000 (1).png,0.148463607,5
db_10000 (1).png,0.151382886,6
db_10000 (1).png,0.167854396,7
db_10000 (1).png,0.142445361,8
db_10000 (1).png,0.07468814,9
db_10000 (1).png,0.216147179,10
db_10000 (1).png,0.20068737,11
db_10000 (1).png,0.221406493,12
db_10000 (1).png,0.210101434,13
db_10000 (1).png,0.236135369,14
db_10000 (1).png,0.236135369,15
db_10000 (1).png,0.202944183,16
db_10000 (1).png,0.236135369,17
db_10000 (1).png,0.076397603,18
db_10000 (1).png,0.236135369,19
db_10000 (1).png,0.134115867,20
db_10000 (1).png,0.175799867,21
db_10000 (1).png,0.1781935,22
db_10000 (1).png,0.143220612,23
db_10000 (1).png,0.210261001,24
db_10000 (1).png,0.137856304,25
db_10000 (1).png,0.137404664,26
db_10000 (1).png,0.035937912,27
db_10000 (1).png,0.213020713,28
db_10000 (1).png,0.137158373,29
db_10000 (1).png,0.12640482,30
db_10000 (1).png,0.119104046,31
db_10000 (1).png,0.098327499,32
db_10000 (1).png,0.089510349,33
db_10000 (1).png,0.135893015,34
db_10000 (1).png,0.096132806,35
db_10000 (1).png,0.016144613,36
db_10000.png,0.247529851,1
db_10000.png,0.247529851,2
db_10000.png,0.247529851,3
db_10000.png,0.247529851,4
db_10000.png,0.244271776,5
db_10000.png,0.247529851,6
db_10000.png,0.160195949,7
db_10000.png,0.101458371,8
db_10000.png,0.034237244,9
db_10000.png,0.135403758,10
db_10000.png,0.060657668,11
db_10000.png,0.087154181,12
db_10000.png,0.089619349,13
db_10000.png,0.041614711,14
db_10000.png,0.057276459,15
db_10000.png,0.040419038,16
db_10000.png,0.037771917,17
db_10000.png,0,18
db_10000.png,0.207157254,19
db_10000.png,0.044897371,20
db_10000.png,0.047103726,21
db_10000.png,0.057563569,22
db_10000.png,0.050092637,23
db_10000.png,0.074916631,24
db_10000.png,0.11907337,25
db_10000.png,0.119420159,26
db_10000.png,0.085435932,27
db_10000.png,0.247529851,28
db_10000.png,0.206478405,29
db_10000.png,0.247529851,30
db_10000.png,0.189352516,31
db_10000.png,0.247529851,32
db_10000.png,0.247529851,33
db_10000.png,0.247529851,34
db_10000.png,0.247529851,35
db_10000.png,0.103425409,36
dg_10000 (1).png,0.238746091,1
dg_10000 (1).png,0.071910279,2
dg_10000 (1).png,0.090941647,3
dg_10000 (1).png,0.081771341,4
dg_10000 (1).png,0.101236115,5
dg_10000 (1).png,0.097706537,6
dg_10000 (1).png,0.085313484,7
dg_10000 (1).png,0.097060558,8
dg_10000 (1).png,0.049537212,9
dg_10000 (1).png,0.151546435,10
dg_10000 (1).png,0.126286739,11
dg_10000 (1).png,0.117304614,12
dg_10000 (1).png,0.139638299,13
dg_10000 (1).png,0.122209336,14
dg_10000 (1).png,0.183315165,15
dg_10000 (1).png,0.190051202,16
dg_10000 (1).png,0.137261904,17
dg_10000 (1).png,0.102411474,18
dg_10000 (1).png,0.238746091,19
dg_10000 (1).png,0.205626017,20
dg_10000 (1).png,0.230905245,21
dg_10000 (1).png,0.238746091,22
dg_10000 (1).png,0.238746091,23
